Москва;Москва;Москва;52281;8940;432;49149;863;410;41243;698;348;40951;684;348;38563;616;339;35922;562;318;33177;472;297;29421;392;265;27725;369;254;25216;;235;22294;273;212;19755;241;190;16930;192;165;13910;155;138;10407;147;105;6072;128;62;992;112;10;488;106;5;352;99;4;271;90;3;184;74;2
Московская_область;Московская область;Московская область;49359;9160;692;45952;8727;652;43152;7347;620;40299;6726;587;38051;3941;542;35089;3924;504;32098;3697;466;30619;723;447;29270;703;431;26881;;399;24698;622;370;21413;587;324;18259;554;276;15075;505;228;10674;404;161;4852;236;73;478;47;7;188;31;3;113;25;2;80;20;1;62;19;1
Мурманская_область;Мурманская область;Мурманская область;5046;690;654;4685;640;600;4203;406;533;3927;400;495;3606;278;451;3206;274;398;2765;63;339;2243;59;272;1934;58;230;1684;;197;1321;53;151;1160;52;130;965;48;107;658;39;71;180;24;19;104;17;11;66;14;7;45;11;4;36;10;3;30;9;3;22;6;2
Ненецкий_АО;Ненецкий АО;Ненецкий АО;41;1;95;36;1;84;31;1;73;29;1;69;26;1;62;22;0;53;19;0;45;6;0;14;3;0;7;2;;5;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Нижегородская_область;Нижегородская область;Нижегородская область;15269;1421;465;12676;989;385;10388;985;315;8866;983;268;7589;719;228;6436;713;192;5551;117;165;4525;109;134;4224;104;124;3783;;110;3340;98;96;2902;91;83;2468;87;69;1878;82;52;950;62;26;699;58;19;620;55;17;496;46;13;212;22;6;8;6;0;6;5;0
Новгородская_область;Новгородская область;Новгородская область;2815;431;452;2545;430;407;2064;327;328;1768;296;279;1500;232;234;1295;185;201;1142;156;175;917;64;139;832;60;125;750;;111;631;25;92;534;23;77;445;22;63;291;17;41;58;7;8;21;6;3;14;4;2;7;4;1;3;3;0;3;3;0;2;2;0
Новосибирская_область;Новосибирская область;Новосибирская область;23946;2218;877;20070;1857;741;15009;1025;559;13080;531;491;10254;433;385;7283;233;275;4670;54;177;1903;25;72;1194;21;45;1054;;40;782;15;29;657;14;24;535;12;20;316;9;12;139;6;5;36;2;1;21;2;1;10;1;0;7;1;0;5;1;0;5;1;0
Омская_область;Омская область;Омская область;10042;718;509;7478;631;379;4969;350;252;4409;287;223;3510;174;177;2522;121;127;1362;64;68;553;30;28;487;30;24;420;;21;312;2;15;247;1;12;184;1;9;115;1;5;49;1;2;25;1;1;12;1;1;8;0;0;1;0;0;0;0;0;0;0;0
Оренбургская_область;Оренбургская область;Оренбургская область;28294;6400;1409;26718;5960;1325;25087;3807;1240;23596;3806;1162;22362;3581;1095;20324;2997;994;18506;124;900;16620;121;804;15513;120;741;14080;;663;12506;7;582;11215;7;515;9718;7;444;7465;7;339;3606;4;163;70;0;3;7;0;0;3;0;0;1;0;0;0;0;0;0;0;0
Орловская_область;Орловская область;Орловская область;2014;393;262;1726;348;222;1545;294;198;1424;271;181;1300;222;164;1195;203;150;1092;148;136;962;109;119;882;103;107;788;;94;715;61;84;632;57;74;575;56;66;456;46;52;204;34;23;131;30;15;7;3;1;6;3;1;2;2;0;2;2;0;2;2;0
Пензенская_область;Пензенская область;Пензенская область;3069;255;226;2605;254;190;2157;250;157;1873;250;135;1612;194;116;1455;194;104;1272;169;91;1059;59;75;962;58;68;887;;62;774;40;54;705;40;49;621;40;42;422;35;28;139;20;9;30;9;2;19;7;1;7;3;0;5;1;0;5;1;0;5;1;0
Пермский_край;Пермский край;Пермский край;22916;2147;869;20156;2142;765;17322;1450;658;15339;1430;582;12906;1230;487;10845;1036;408;9171;782;343;7557;537;281;6898;536;254;6229;;226;5519;4;198;4944;3;176;4226;2;149;3173;2;111;1444;2;50;229;2;8;56;1;2;26;1;1;7;1;0;3;1;0;3;1;0
Приморский_край;Приморский край;Приморский край;12422;3598;641;11407;3574;586;10376;2970;532;9725;2925;498;9140;2558;465;8565;2326;435;7909;1905;400;7000;1297;352;6356;70;317;5698;;281;5108;29;249;4602;18;223;4085;13;196;3068;7;145;1377;5;64;114;3;5;31;2;1;28;2;1;21;2;1;16;1;1;8;1;0
